"","Exhaust.System.Specialists","Intake.System.Specialists","Fuel.Emissions.Specialists","Drivetrain.Specialists","Repair.Date"
"75",1,1,2,1,2017-01-26
"76",1,1,1,2,2017-02-07
"77",3,2,2,2,2017-01-28
"78",3,2,2,1,2017-01-25
"79",1,1,2,1,2017-02-02
"80",3,2,2,2,2017-02-03
"81",1,1,1,1,2017-01-31
"82",1,1,2,2,2017-01-29
"83",1,1,1,2,2017-02-01
"84",1,1,2,2,2017-02-07
"85",3,2,2,1,2017-02-01
"86",1,1,2,1,2017-02-13
"87",1,1,1,1,2017-01-24
"88",1,1,0,1,2017-01-24
"89",1,1,2,1,2017-01-30
"90",4,2,1,2,2017-01-25
"91",1,1,1,2,2017-01-28
"92",1,1,2,2,2017-01-27
"93",1,1,1,2,2017-01-28
"94",1,1,1,2,2017-01-25
"95",1,1,2,2,2017-01-24
"96",4,2,2,2,2017-01-24
"97",4,2,1,2,2017-02-03
"98",1,1,1,1,2017-01-30
"99",1,1,2,1,2017-01-27
"100",1,1,2,1,2017-01-26
"101",1,1,2,2,2017-01-24
"102",1,1,1,1,2017-02-03
"103",4,2,1,1,2017-01-25
"104",1,1,1,1,2017-01-24
"105",1,1,2,2,2017-02-13
"106",1,1,0,0,2017-01-25
"107",1,1,2,1,2017-02-03
"108",1,1,2,2,2017-01-25
"109",4,2,2,2,2017-01-25
"110",1,1,1,1,2017-01-24
"111",1,1,1,1,2017-01-25
"112",1,1,1,2,2017-02-05
"113",3,2,1,1,2017-02-12
"114",1,1,2,2,2017-02-09
"115",1,1,2,2,2017-01-31
"116",1,1,1,1,2017-02-04
"117",3,2,1,2,2017-01-24
"118",2,4,1,1,2017-01-27
"119",4,0,1,2,2017-01-24
"120",1,1,1,1,2017-02-03
"121",1,1,0,1,2017-01-24
"122",1,1,1,1,2017-02-03
"123",4,2,1,1,2017-01-26
"124",3,2,2,2,2017-01-26
"125",3,2,1,1,2017-02-05
"126",1,1,1,2,2017-01-28
"127",1,1,1,1,2017-01-24
"128",1,1,1,2,2017-02-13
"129",1,1,1,1,2017-02-09
"130",4,2,2,1,2017-02-02
"131",3,2,1,1,2017-02-03
"132",1,1,1,1,2017-02-01
"133",1,1,1,1,2017-01-24
"134",1,1,1,0,2017-01-24
"135",1,1,2,2,2017-02-04
"136",3,2,2,2,2017-01-30
"137",1,1,2,2,2017-01-24
"138",1,1,1,1,2017-01-29
"139",1,1,1,3,2017-01-25
"140",1,1,2,1,2017-02-04
"141",3,2,1,1,2017-01-29
"142",1,1,1,2,2017-02-04
"143",1,1,1,2,2017-02-03
"144",1,1,1,1,2017-02-03
"145",1,1,1,1,2017-01-27
"146",3,2,1,2,2017-02-07
"147",1,1,1,1,2017-02-05
"148",1,1,1,1,2017-01-29
"149",3,2,2,3,2017-02-09
"150",1,1,1,1,2017-01-25
"151",1,1,1,1,2017-01-29
"152",1,1,1,1,2017-01-25
"153",1,1,2,1,2017-01-25
"154",1,1,2,1,2017-01-30
"155",1,1,2,2,2017-02-01
"156",1,1,2,2,2017-01-29
"157",1,1,1,1,2017-01-28
"158",1,1,1,2,2017-02-05
"159",1,1,1,1,2017-02-02
"160",1,1,1,1,2017-01-31
"161",1,1,2,1,2017-01-29
"162",1,1,2,2,2017-01-24
"163",1,1,2,2,2017-02-02
"164",1,1,1,2,2017-01-30
"165",1,1,1,1,2017-01-27
"166",1,1,1,2,2017-01-26
"167",1,1,1,1,2017-01-28
"168",1,1,1,1,2017-02-02
"169",1,1,1,1,2017-01-25
"170",1,1,1,1,2017-01-28
"171",1,1,2,1,2017-01-31
"172",1,1,1,1,2017-02-08
"173",1,1,2,3,2017-01-27
"174",1,1,1,2,2017-01-25
"175",1,1,1,1,2017-01-31
"176",3,2,1,1,2017-01-25
"177",1,1,2,1,2017-01-25
"178",3,2,2,2,2017-02-12
"179",1,1,1,1,2017-02-05
"180",1,1,1,1,2017-01-26
"181",3,2,2,2,2017-02-03
"182",1,1,2,2,2017-01-31
"183",1,1,1,1,2017-01-24
"184",1,1,1,1,2017-02-01
"185",1,1,1,1,2017-01-29
"186",1,1,1,1,2017-02-02
"187",4,2,1,2,2017-02-01
"188",1,1,1,1,2017-02-10
"189",1,1,2,2,2017-01-27
"190",1,1,1,2,2017-02-14
"191",1,1,2,2,2017-01-24
"192",3,2,2,2,2017-02-01
"193",1,1,2,2,2017-02-05
"194",1,1,1,2,2017-02-04
"195",1,1,2,2,2017-01-28
"196",1,1,1,1,2017-02-09
"197",1,1,2,1,2017-01-31
"198",1,1,2,1,2017-01-26
"199",3,2,2,2,2017-01-26
"200",1,1,2,1,2017-01-24
"201",1,1,2,2,2017-01-27
"202",3,2,1,1,2017-02-11
"203",1,1,1,1,2017-02-03
"204",3,2,2,1,2017-01-28
"205",4,2,1,1,2017-01-26
"206",3,2,1,2,2017-02-03
"207",1,1,1,1,2017-01-30
"208",3,2,1,1,2017-01-31
"209",1,1,1,2,2017-01-27
"210",4,0,2,2,2017-02-01
"211",1,1,1,2,2017-01-24
"212",1,1,2,2,2017-02-06
"213",1,1,2,2,2017-02-08
"214",3,2,2,2,2017-02-01
"215",1,1,1,1,2017-01-26
"216",1,1,1,2,2017-01-31
"217",1,1,1,2,2017-01-25
"218",3,2,1,1,2017-01-26
"219",1,1,1,0,2017-02-12
"220",1,1,2,1,2017-02-10
"221",1,1,2,2,2017-02-09
"222",4,2,1,1,2017-01-25
"223",1,1,2,2,2017-01-29
"224",1,1,1,1,2017-01-27
"225",1,1,1,1,2017-02-11
"226",1,1,2,2,2017-01-24
"227",1,1,2,2,2017-02-09
"228",1,1,1,1,2017-01-24
"229",1,1,1,1,2017-01-26
"230",1,1,2,1,2017-01-27
"231",1,1,1,2,2017-02-03
"232",1,1,1,1,2017-01-25
"233",1,1,2,1,2017-02-05
"234",1,1,0,1,2017-02-09
"235",1,1,1,1,2017-01-25
"236",1,1,2,2,2017-01-25
"237",1,1,2,1,2017-01-29
"238",3,2,2,1,2017-01-27
"239",1,1,2,2,2017-02-08
"240",3,2,1,2,2017-02-04
"241",1,1,1,1,2017-02-02
"242",3,2,2,2,2017-02-06
"243",1,1,2,2,2017-01-28
"244",4,2,1,1,2017-01-27
"245",3,2,2,2,2017-02-07
"246",3,2,2,3,2017-01-31
"247",3,2,1,1,2017-02-12
"248",1,1,2,2,2017-01-31
"249",1,1,2,0,2017-01-24
"250",1,1,2,2,2017-01-31
"251",3,2,2,3,2017-02-01
"252",1,1,1,1,2017-01-24
"253",3,2,1,1,2017-01-24
"254",1,1,2,1,2017-01-26
"255",1,1,1,2,2017-02-01
"256",3,2,1,1,2017-02-01
"257",3,2,2,2,2017-01-24
"258",1,1,1,0,2017-01-29
"259",1,1,2,2,2017-01-28
"260",1,1,2,2,2017-02-03
"261",4,2,2,1,2017-01-25
"262",1,1,1,1,2017-02-04
"263",1,1,2,1,2017-01-26
"264",1,1,1,1,2017-02-14
"265",4,2,1,1,2017-01-30
"266",1,1,2,2,2017-01-29
"267",3,2,2,1,2017-02-03
"268",1,1,2,2,2017-01-30
"269",1,1,1,2,2017-02-08
"270",1,1,1,1,2017-01-31
"271",1,1,1,1,2017-01-24
"272",3,2,1,1,2017-01-24
"273",1,1,2,2,2017-02-02
"274",1,1,1,1,2017-02-03
"275",2,4,2,1,2017-02-03
"276",1,1,1,2,2017-01-26
"277",1,1,2,2,2017-01-30
"278",3,2,2,2,2017-02-02
"279",1,1,2,2,2017-01-27
"280",1,1,1,1,2017-02-10
"281",3,2,1,1,2017-02-05
"282",1,1,1,2,2017-01-28
"283",1,1,2,2,2017-02-04
"284",1,1,1,2,2017-02-05
"285",4,2,1,2,2017-02-10
"286",3,2,2,2,2017-01-26
"287",4,0,1,1,2017-01-29
"288",1,1,1,2,2017-02-16
"289",1,1,2,2,2017-01-27
"290",1,1,2,2,2017-02-07
"291",1,1,2,1,2017-01-25
"292",3,2,1,2,2017-01-26
"293",1,1,2,3,2017-02-04
"294",3,2,1,0,2017-02-07
"295",1,1,2,2,2017-01-31
"296",1,1,1,2,2017-02-01
"297",1,1,1,1,2017-01-25
"298",4,2,2,2,2017-01-28
"299",1,1,1,1,2017-01-27
"300",3,2,0,1,2017-01-24
"301",3,2,2,2,2017-02-01
"302",1,1,1,2,2017-01-30
"303",1,1,1,2,2017-02-09
"304",1,1,2,2,2017-01-26
"305",1,1,1,2,2017-01-30
"306",3,2,1,1,2017-01-26
"307",1,1,2,2,2017-02-07
"308",1,1,1,2,2017-02-01
"309",1,1,1,1,2017-02-02
"310",1,1,2,1,2017-01-31
"311",1,1,2,1,2017-02-10
"312",1,1,2,1,2017-02-11
"313",1,1,1,1,2017-02-02
"314",1,1,1,2,2017-02-04
"315",1,1,1,1,2017-01-30
"316",1,1,2,2,2017-01-25
"317",1,1,2,1,2017-02-03
"318",3,2,1,2,2017-02-13
"319",3,2,1,2,2017-02-08
"320",1,1,2,1,2017-01-26
"321",1,1,1,1,2017-01-25
"322",1,1,2,1,2017-02-11
"323",3,2,1,1,2017-01-27
"324",1,1,1,1,2017-01-26
"325",1,1,1,2,2017-01-31
"326",1,1,2,1,2017-01-25
"327",4,2,1,1,2017-01-24
"328",1,1,1,0,2017-01-27
"329",1,1,1,2,2017-01-31
"330",1,1,1,1,2017-02-02
"331",1,1,2,1,2017-02-07
"332",1,1,1,1,2017-01-24
"333",1,1,2,1,2017-02-15
"334",1,1,1,1,2017-02-03
"335",1,1,1,1,2017-01-25
"336",1,1,1,1,2017-01-25
"337",1,1,2,2,2017-01-30
"338",4,2,0,1,2017-01-25
"339",3,2,2,2,2017-02-03
"340",1,1,1,2,2017-02-01
"341",1,1,1,1,2017-01-26
"342",1,1,2,2,2017-01-30
"343",3,2,1,1,2017-02-11
"344",1,1,2,1,2017-02-11
"345",3,2,2,2,2017-02-08
"346",1,1,2,1,2017-02-02
"347",1,1,2,3,2017-01-25
"348",3,2,1,1,2017-01-29
"349",1,1,1,2,2017-01-27
"350",1,1,2,1,2017-02-13
"351",1,1,1,1,2017-02-03
"352",3,2,2,2,2017-02-13
"353",1,1,1,1,2017-02-01
"354",1,1,1,2,2017-01-30
"355",1,1,1,1,2017-02-15
"356",1,1,1,1,2017-01-26
"357",1,1,1,1,2017-01-27
"358",1,1,2,1,2017-01-25
"359",1,1,2,2,2017-01-27
"360",1,1,1,1,2017-01-29
"361",4,2,1,1,2017-01-25
"362",1,1,2,2,2017-01-25
"363",3,2,1,1,2017-01-30
"364",3,2,1,0,2017-02-13
"365",1,1,1,1,2017-01-27
"366",1,1,1,1,2017-01-30
"367",1,1,2,2,2017-01-29
"368",1,1,1,1,2017-01-26
"369",3,2,2,2,2017-01-25
"370",3,2,1,2,2017-02-06
"371",1,1,2,3,2017-01-27
"372",1,1,1,1,2017-01-28
"373",1,1,2,2,2017-01-24
"374",3,2,1,2,2017-02-02
"375",1,1,1,2,2017-01-26
"376",3,2,1,1,2017-01-25
"377",1,1,1,1,2017-01-28
"378",1,1,2,2,2017-01-25
"379",1,1,2,1,2017-02-03
"380",1,1,3,3,2017-02-01
"381",1,1,1,1,2017-02-02
"382",1,1,2,2,2017-02-03
"383",1,1,1,1,2017-02-06
"384",3,2,2,1,2017-02-01
"385",1,1,1,1,2017-02-12
"386",1,1,2,2,2017-01-25
"387",3,2,2,1,2017-01-25
"388",1,1,2,2,2017-02-14
"389",1,1,2,2,2017-01-29
"390",3,2,2,2,2017-02-08
"391",1,1,2,2,2017-02-01
"392",3,2,1,1,2017-01-24
"393",1,1,2,2,2017-02-15
"394",1,1,1,2,2017-01-24
"395",3,2,2,2,2017-02-05
"396",4,2,1,1,2017-01-26
"397",3,2,1,1,2017-02-02
"398",1,1,1,1,2017-01-26
"399",1,1,1,2,2017-02-15
"400",3,2,2,2,2017-01-27
"401",1,1,2,2,2017-02-14
"402",1,1,1,1,2017-02-05
"403",3,2,1,2,2017-01-26
"404",1,1,2,2,2017-02-07
"405",3,2,2,1,2017-02-02
"406",1,1,2,2,2017-01-30
"407",1,1,2,2,2017-01-25
"408",3,2,2,2,2017-01-26
"409",3,2,1,1,2017-01-30
"410",1,1,1,1,2017-02-16
"411",1,1,1,1,2017-01-27
"412",1,1,1,2,2017-01-30
"413",3,2,2,1,2017-02-09
"414",1,1,2,2,2017-01-30
"415",1,1,1,2,2017-02-13
"416",1,1,1,2,2017-01-29
"417",3,2,1,1,2017-01-29
"418",1,1,1,2,2017-01-25
"419",1,1,2,1,2017-02-06
"420",1,1,1,2,2017-01-26
"421",1,1,1,1,2017-01-25
"422",1,1,1,1,2017-02-01
"423",3,2,0,1,2017-01-25
"424",1,1,2,2,2017-01-31
"425",1,1,2,2,2017-01-28
"426",1,1,1,1,2017-01-28
"427",1,1,2,2,2017-01-29
"428",1,1,2,2,2017-01-28
"429",1,1,1,1,2017-02-02
"430",1,1,1,2,2017-01-27
"431",1,1,1,1,2017-01-25
"432",1,1,1,1,2017-01-26
"433",1,1,2,3,2017-01-29
"434",1,1,2,2,2017-01-29
"435",1,1,2,2,2017-01-25
"436",1,1,1,2,2017-01-27
"437",1,1,2,3,2017-02-05
"438",3,2,1,2,2017-02-05
"439",1,1,2,2,2017-01-25
"440",3,2,2,2,2017-01-31
"441",1,1,1,1,2017-02-01
"442",1,1,1,1,2017-02-03
"443",1,1,2,1,2017-01-25
"444",1,1,1,1,2017-02-02
"445",3,2,1,1,2017-02-03
"446",1,1,1,1,2017-01-27
"447",1,1,1,2,2017-02-02
"448",1,1,1,1,2017-02-02
"449",1,1,2,2,2017-01-27
"450",1,1,1,2,2017-02-12
"451",1,1,1,1,2017-01-26
"452",1,1,1,2,2017-01-24
"453",1,1,1,2,2017-02-03
"454",1,1,1,1,2017-01-26
"455",1,1,1,1,2017-01-27
"456",3,2,2,1,2017-02-02
"457",4,2,1,2,2017-01-31
"458",1,1,2,1,2017-01-27
"459",1,1,1,1,2017-01-25
"460",1,1,1,2,2017-02-11
"461",3,2,1,2,2017-02-11
"462",1,1,1,1,2017-01-24
"463",1,1,1,1,2017-01-29
"464",1,1,1,1,2017-01-24
"465",1,1,1,1,2017-02-15
"466",1,1,2,2,2017-01-27
"467",1,1,1,1,2017-01-26
"468",1,1,2,2,2017-01-24
"469",3,2,1,1,2017-02-10
"470",1,1,0,1,2017-02-10
"471",1,1,2,1,2017-02-02
"472",1,1,1,1,2017-02-12
"473",1,1,1,2,2017-01-31
"474",1,1,1,1,2017-02-07
"475",3,2,1,2,2017-02-06
"476",3,2,1,1,2017-02-02
"477",3,2,2,1,2017-01-31
"478",1,1,1,2,2017-01-24
"479",1,1,1,1,2017-02-03
"480",1,1,1,1,2017-02-04
"481",1,1,2,1,2017-02-04
"482",1,1,2,2,2017-02-02
"483",1,1,2,3,2017-02-04
"484",3,2,1,1,2017-02-05
"485",3,2,2,1,2017-02-04
"486",1,1,2,1,2017-01-31
"487",3,2,2,2,2017-02-14
"488",3,2,2,1,2017-02-06
"489",1,1,1,2,2017-01-24
"490",1,1,1,1,2017-02-05
"491",3,2,2,2,2017-02-01
"492",1,1,2,2,2017-01-26
"493",1,1,2,1,2017-01-27
"494",3,2,2,2,2017-02-13
"495",1,1,2,2,2017-02-02
"496",1,1,1,1,2017-01-27
"497",1,1,1,2,2017-01-30
"498",3,2,1,1,2017-01-25
"499",3,2,2,2,2017-02-04
"500",3,2,2,2,2017-02-08
"501",1,1,2,2,2017-01-24
"502",1,1,1,2,2017-01-25
"503",3,2,1,1,2017-01-27
"504",3,2,1,1,2017-01-26
"505",1,1,1,1,2017-01-27
"506",3,2,1,1,2017-02-14
"507",3,2,1,1,2017-02-15
"508",1,1,1,2,2017-01-27
"509",3,2,1,2,2017-01-29
"510",1,1,2,1,2017-01-30
"511",1,1,2,1,2017-02-01
"512",1,1,1,2,2017-01-24
"513",1,1,1,1,2017-01-26
"514",4,2,1,2,2017-01-26
"515",3,2,2,3,2017-01-24
"516",1,1,2,2,2017-02-13
"517",3,2,1,1,2017-01-25
"518",3,2,2,2,2017-01-28
"519",1,1,1,1,2017-01-24
"520",3,2,1,2,2017-01-27
"521",1,1,2,1,2017-02-08
"522",1,1,1,1,2017-01-29
"523",1,1,2,2,2017-02-05
"524",1,1,1,2,2017-02-03
"525",1,1,1,2,2017-02-09
"526",1,1,1,1,2017-01-29
"527",3,2,2,2,2017-01-24
"528",1,1,0,1,2017-02-04
"529",1,1,2,2,2017-01-28
"530",3,2,2,2,2017-02-09
"531",1,1,1,1,2017-02-04
"532",3,2,2,2,2017-01-28
"533",1,1,1,2,2017-02-03
"534",3,2,2,2,2017-01-29
"535",3,2,2,1,2017-01-29
"536",1,1,2,1,2017-02-06
"537",3,2,2,1,2017-02-12
"538",1,1,2,1,2017-02-07
"539",1,1,1,1,2017-02-05
"540",1,1,2,2,2017-01-24
"541",1,1,2,2,2017-01-26
"542",1,1,1,1,2017-02-04
"543",1,1,1,1,2017-01-25
"544",1,1,1,2,2017-01-28
"545",3,2,1,2,2017-02-08
"546",3,2,1,1,2017-01-26
"547",4,2,2,2,2017-01-25
"548",1,1,2,1,2017-02-01
"549",1,1,1,2,2017-01-28
"550",1,1,1,1,2017-01-31
"551",1,1,1,1,2017-01-25
"552",1,1,2,1,2017-01-25
"553",3,2,1,1,2017-01-26
"554",1,1,1,2,2017-01-25
"555",1,1,1,2,2017-01-27
"556",1,1,1,2,2017-01-31
"557",1,1,2,2,2017-02-12
"558",3,2,2,1,2017-02-12
"559",1,1,1,2,2017-01-28
"560",1,1,1,0,2017-01-25
"561",1,1,1,1,2017-02-04
"562",1,1,1,2,2017-01-31
"563",1,1,1,1,2017-01-31
"564",1,1,1,1,2017-02-04
"565",1,1,2,1,2017-02-01
"566",1,1,2,2,2017-01-24
"567",1,1,2,2,2017-01-27
"568",1,1,2,2,2017-02-03
"569",1,1,2,1,2017-01-29
"570",1,1,1,1,2017-01-28
"571",1,1,1,1,2017-02-14
"572",3,2,3,2,2017-02-13
"573",1,1,1,1,2017-02-05
"574",1,1,1,1,2017-01-28
"575",1,1,2,2,2017-02-07
"576",1,1,2,2,2017-02-06
"577",3,2,2,2,2017-02-05
"578",1,1,1,2,2017-02-06
"579",1,1,1,1,2017-01-26
"580",3,2,2,1,2017-02-02
"581",3,2,1,1,2017-02-13
"582",1,1,2,2,2017-01-27
"583",3,2,2,1,2017-01-25
"584",1,1,1,1,2017-02-14
"585",1,1,1,2,2017-02-01
"586",1,1,2,2,2017-01-29
"587",3,2,2,1,2017-02-10
"588",1,1,2,2,2017-01-27
"589",1,1,1,1,2017-01-28
"590",1,1,2,2,2017-02-10
"591",3,2,2,1,2017-02-04
"592",3,2,2,1,2017-01-31
"593",1,1,1,2,2017-01-24
"594",4,2,0,1,2017-01-25
"595",1,1,2,1,2017-01-28
"596",1,1,1,1,2017-01-26
"597",1,1,2,1,2017-01-31
"598",3,2,1,1,2017-01-28
"599",1,1,2,2,2017-01-26
"600",1,1,1,1,2017-01-25
"601",1,1,2,1,2017-02-04
"602",3,2,2,2,2017-02-08
"603",1,1,2,2,2017-01-25
"604",1,1,1,1,2017-01-29
"605",1,1,2,2,2017-02-05
"606",4,2,1,1,2017-01-26
"607",1,1,1,1,2017-01-28
"608",3,2,2,1,2017-01-25
"609",1,1,1,2,2017-02-05
"610",3,2,0,0,2017-02-12
"611",4,2,2,2,2017-01-31
"612",1,1,2,1,2017-02-01
"613",1,1,2,2,2017-02-10
"614",4,2,1,2,2017-01-25
"615",1,1,1,1,2017-01-30
"616",1,1,1,2,2017-01-27
"617",1,1,1,2,2017-02-15
"618",3,2,2,2,2017-02-10
"619",1,1,1,1,2017-01-24
"620",1,1,1,2,2017-01-27
"621",1,1,2,2,2017-02-11
"622",1,1,2,1,2017-02-07
"623",1,1,1,2,2017-01-26
"624",1,1,1,1,2017-02-03
"625",3,2,2,1,2017-02-03
"626",1,1,2,2,2017-02-16
"627",1,1,1,1,2017-02-04
"628",3,2,1,1,2017-02-09
"629",3,2,2,2,2017-02-12
"630",3,2,2,2,2017-02-11
"631",1,1,2,2,2017-01-28
"632",3,2,1,1,2017-01-30
"633",1,1,2,2,2017-01-26
"634",1,1,1,2,2017-02-10
"635",1,1,2,2,2017-02-07
"636",4,2,2,2,2017-01-27
"637",1,1,1,1,2017-02-04
"638",3,2,2,2,2017-01-26
"639",1,1,1,2,2017-02-02
"640",3,2,1,1,2017-01-29
"641",1,1,1,2,2017-02-01
"642",1,1,1,1,2017-01-27
"643",1,1,2,1,2017-01-25
"644",3,2,2,1,2017-02-10
"645",1,1,1,2,2017-01-26
"646",1,1,1,1,2017-02-14
"647",3,2,2,2,2017-02-03
"648",3,2,1,2,2017-01-28
"649",1,1,2,2,2017-01-28
"650",3,2,2,2,2017-01-27
"651",1,1,1,1,2017-02-12
"652",1,1,1,1,2017-02-12
"653",1,1,2,1,2017-01-27
"654",3,2,1,2,2017-02-01
"655",1,1,2,2,2017-02-12
"656",4,2,1,1,2017-01-26
"657",3,2,2,2,2017-02-14
"658",1,1,1,2,2017-01-24
"659",1,1,1,2,2017-02-13
"660",3,2,2,2,2017-02-06
"661",1,1,1,2,2017-01-31
"662",1,1,2,2,2017-02-01
"663",1,1,2,2,2017-02-06
"664",1,1,2,1,2017-01-26
"665",1,1,1,2,2017-02-14
"666",1,1,2,2,2017-02-06
"667",1,1,2,1,2017-01-30
"668",2,4,2,1,2017-02-09
"669",3,2,2,1,2017-02-03
"670",1,1,1,1,2017-01-28
"671",3,2,2,1,2017-02-14
"672",3,2,2,0,2017-02-11
"673",3,2,0,2,2017-02-01
"674",1,1,2,2,2017-01-26
"675",1,1,1,2,2017-02-06
"676",1,1,1,0,2017-01-31
"677",3,2,2,1,2017-02-02
"678",4,2,2,1,2017-02-06
"679",1,1,1,2,2017-01-25
"680",1,1,1,1,2017-01-28
"681",3,2,2,1,2017-02-11
"682",3,2,0,0,2017-01-27
"683",1,1,1,1,2017-02-02
"684",1,1,1,1,2017-01-26
"685",1,1,2,2,2017-02-01
"686",3,2,1,1,2017-01-29
"687",1,1,2,2,2017-02-13
"688",3,2,2,2,2017-02-05
"689",1,1,2,1,2017-02-06
"690",1,1,2,2,2017-01-26
"691",1,1,2,2,2017-01-25
"692",3,2,2,2,2017-02-03
"693",1,1,2,2,2017-01-27
"694",3,2,2,2,2017-02-09
"695",3,2,1,2,2017-02-04
"696",3,2,1,3,2017-02-07
"697",1,1,1,2,2017-01-31
"698",3,2,1,1,2017-02-12
"699",1,1,1,1,2017-02-16
"700",1,1,2,2,2017-01-27
"701",1,1,1,1,2017-01-29
"702",1,1,2,1,2017-01-27
"703",1,1,2,2,2017-01-27
"704",1,1,1,2,2017-01-25
"705",3,2,1,1,2017-02-07
"706",1,1,1,2,2017-01-31
"707",1,1,2,1,2017-01-25
"708",1,1,1,1,2017-01-26
"709",1,1,2,2,2017-01-28
"710",1,1,2,1,2017-01-27
"711",1,1,1,2,2017-01-26
"712",1,1,1,0,2017-01-30
"713",3,2,1,2,2017-02-11
"714",1,1,1,2,2017-01-28
"715",3,2,1,1,2017-02-07
"716",1,1,1,2,2017-01-24
"717",3,2,1,1,2017-02-01
"718",1,1,2,2,2017-01-26
"719",1,1,2,2,2017-01-26
"720",1,1,2,2,2017-01-26
"721",1,1,1,1,2017-02-04
"722",1,1,1,1,2017-01-30
"723",3,2,2,1,2017-01-25
"724",1,1,1,0,2017-02-10
"725",3,2,2,2,2017-02-01
"726",1,1,1,1,2017-01-26
"727",1,1,2,2,2017-02-01
"728",1,1,2,2,2017-01-25
"729",1,1,2,1,2017-01-26
"730",1,1,1,1,2017-02-07
"731",1,1,1,1,2017-01-25
"732",1,1,1,2,2017-01-29
"733",1,1,1,1,2017-02-11
"734",1,1,1,1,2017-01-25
"735",1,1,2,1,2017-01-24
"736",1,1,1,2,2017-02-04
"737",1,1,1,2,2017-02-01
"738",1,1,2,2,2017-02-01
"739",1,1,1,2,2017-01-26
"740",1,1,2,2,2017-01-25
"741",1,1,1,2,2017-01-26
"742",1,1,1,2,2017-01-27
"743",1,1,1,2,2017-01-26
"744",3,2,2,2,2017-02-10
"745",3,2,1,1,2017-02-07
"746",1,1,2,1,2017-02-14
"747",1,1,1,1,2017-01-26
"748",1,1,1,1,2017-01-27
"749",1,1,1,2,2017-02-04
"750",1,1,1,1,2017-02-14
"751",1,1,2,2,2017-01-31
"752",1,1,2,2,2017-02-04
"753",1,1,2,2,2017-01-26
"754",1,1,1,2,2017-01-31
"755",1,1,1,1,2017-02-15
"756",3,2,1,2,2017-02-04
"757",3,2,1,2,2017-02-09
"758",1,1,2,2,2017-01-28
"759",1,1,1,2,2017-02-04
"760",1,1,2,2,2017-01-30
"761",3,2,2,2,2017-02-04
"762",1,1,1,1,2017-02-08
"763",1,1,2,1,2017-01-27
"764",3,2,0,0,2017-02-10
"765",3,2,3,2,2017-01-27
"766",1,1,1,1,2017-01-26
"767",1,1,1,2,2017-02-04
"768",1,1,2,1,2017-01-26
"769",1,1,1,1,2017-02-13
"770",1,1,1,2,2017-02-12
"771",1,1,1,1,2017-01-25
