"","InvoiceNo","StockCode","Description","Quantity","InvoiceDate","UnitPrice","CustomerID","Country"
"290285","562371","84991","60 TEATIME FAIRY CAKE CASES",24,"8/4/2011 14:30",0.55,13709,"United Kingdom"
"13884","537434","85177","BASKET OF FLOWERS SEWING KIT",1,"12/6/2010 16:57",1.66,NA,"United Kingdom"
"478031","577078","23425","STORAGE TIN HOME SWEET HOME",2,"11/17/2011 15:17",4.96,NA,"United Kingdom"
"372815","569248","23314","VINTAGE CHRISTMAS TABLECLOTH",2,"10/3/2011 10:09",12.5,12886,"United Kingdom"
"456066","575668","22384","LUNCH BAG PINK POLKADOT",1,"11/10/2011 14:59",1.65,18283,"United Kingdom"
"509365","579297","85071C","CHARLIE+LOLA""EXTREMELY BUSY"" SIGN",1,"11/29/2011 11:23",1.63,NA,"United Kingdom"
"227750","556905","22948","METAL DECORATION NAUGHTY CHILDREN ",3,"6/15/2011 13:05",0.85,16904,"United Kingdom"
"179994","552295","90186B","CRYSTAL HOOP EARRING FLORAL LEAF",1,"5/8/2011 14:08",2.95,14224,"United Kingdom"
"308459","564016","22595","GINGHAM HEART DECORATION",12,"8/22/2011 11:44",0.85,15712,"United Kingdom"
"447510","574950","90019B","GOLD M.O.P ORBIT BRACELET",1,"11/8/2011 9:29",5.4,NA,"United Kingdom"
"210867","555325","DOT","DOTCOM POSTAGE",1,"6/2/2011 11:02",47.67,NA,"United Kingdom"
"464862","576189","23263","SET OF 3 WOODEN HEART DECORATIONS",1,"11/14/2011 11:33",1.25,14684,"United Kingdom"
"394966","570910","22362","GLASS JAR PEACOCK BATH SALTS",6,"10/13/2011 10:55",2.95,15489,"United Kingdom"
"28240","538631","22295","HEART FILIGREE DOVE LARGE",72,"12/13/2010 13:27",1.65,13408,"United Kingdom"
"393693","570841","85099B","JUMBO BAG RED RETROSPOT",20,"10/12/2011 14:18",2.08,12553,"France"
"34739","539423","21844","RED RETROSPOT MUG",6,"12/17/2010 14:24",2.95,15811,"United Kingdom"
"489789","578026","22621","TRADITIONAL KNITTING NANCY",12,"11/22/2011 13:29",1.65,17659,"United Kingdom"
"465729","576252","22099","CARAVAN SQUARE TISSUE BOX",36,"11/14/2011 13:55",0.39,14418,"United Kingdom"
"298817","563061","22024","RAINY LADIES BIRTHDAY CARD",12,"8/11/2011 15:25",0.42,13588,"United Kingdom"
"129696","547387","22698","PINK REGENCY TEACUP AND SAUCER",6,"3/22/2011 16:00",2.95,12539,"Spain"
"355719","567967","22023","EMPIRE BIRTHDAY CARD",12,"9/23/2011 9:39",0.42,15858,"United Kingdom"
"257002","559507","21592","RETROSPOT CIGAR BOX MATCHES ",1,"7/8/2011 15:22",1.25,15920,"United Kingdom"
"97226","544599","22815","CARD PSYCHEDELIC APPLES",2,"2/21/2011 18:15",0.83,NA,"United Kingdom"
"285065","561894","23012","GLASS APOTHECARY BOTTLE PERFUME",1,"7/31/2011 15:00",3.95,14456,"United Kingdom"
"342206","566847","21929","JUMBO BAG PINK VINTAGE PAISLEY",2,"9/15/2011 11:57",2.08,15005,"United Kingdom"
"402863","571508","23398","HANGING HEART BONHEUR",2,"10/17/2011 15:27",2.08,NA,"United Kingdom"
"525639","580635","22744","MAKE YOUR OWN MONSOON CARD KIT",1,"12/5/2011 12:30",0.79,14649,"United Kingdom"
"242621","558367","20684","STRAWBERRY DREAM CHILDS UMBRELLA",2,"6/28/2011 15:31",3.25,16550,"United Kingdom"
"92496","544193","85232D","SET/3 DECOUPAGE STACKING TINS",3,"2/17/2011 8:23",4.95,12431,"Belgium"
"177643","552166","20717","STRAWBERRY SHOPPER BAG",10,"5/6/2011 12:21",1.25,13475,"United Kingdom"
"289132","C562221","82482","WOODEN PICTURE FRAME WHITE FINISH",-36,"8/3/2011 14:22",2.1,16525,"United Kingdom"
"132223","547658","37449","CERAMIC CAKE STAND + HANGING CAKES",2,"3/24/2011 13:04",9.95,13736,"United Kingdom"
"416377","572552","23221","REINDEER HEART DECORATION SILVER",2,"10/24/2011 17:07",1.63,14096,"United Kingdom"
"510548","579458","23004","TRAVEL CARD WALLET PANTRY",1,"11/29/2011 14:38",0.42,16549,"United Kingdom"
"273044","560778","20713","JUMBO BAG OWLS",1,"7/21/2011 9:30",4.13,NA,"United Kingdom"
"250004","558992","84945","MULTI COLOUR SILVER T-LIGHT HOLDER",12,"7/5/2011 11:36",0.85,14223,"United Kingdom"
"102347","545014","22969","HOMEMADE JAM SCENTED CANDLES",24,"2/25/2011 13:15",1.45,18223,"United Kingdom"
"172055","551516","23177","TREASURE ISLAND BOOK BOX",1,"5/1/2011 11:10",2.25,14800,"United Kingdom"
"221399","556245","22702","BLACK AND WHITE CAT BOWL",2,"6/9/2011 16:10",2.1,17841,"United Kingdom"
"26699","538518","21741","COSY SLIPPER SHOES LARGE GREEN",3,"12/12/2010 16:14",2.95,14505,"United Kingdom"
"331050","565967","23289","DOLLY GIRL CHILDRENS BOWL",24,"9/8/2011 11:27",1.25,14646,"Netherlands"
"30090","538849","85014B","RED RETROSPOT UMBRELLA",4,"12/14/2010 13:31",5.95,14415,"United Kingdom"
"38051","539492","22156","HEART DECORATION WITH PEARLS ",1,"12/20/2010 10:14",1.66,NA,"United Kingdom"
"109718","545658","84199","GLOW IN DARK DOLPHINS",4,"3/4/2011 14:13",0.21,14670,"United Kingdom"
"426692","573362","23265","SET OF 3 WOODEN TREE DECORATIONS",12,"10/30/2011 13:06",1.25,12597,"Spain"
"516761","579946","22099","CARAVAN SQUARE TISSUE BOX",2,"12/1/2011 10:44",0.39,15993,"United Kingdom"
"70028","541997","22651","GENTLEMAN SHIRT REPAIR KIT ",13,"1/25/2011 10:38",0.85,18077,"United Kingdom"
"79802","543006","47590B","PINK HAPPY BIRTHDAY BUNTING",1,"2/2/2011 12:53",5.45,17975,"United Kingdom"
"520906","580305","22300","COFFEE MUG DOG + BALL DESIGN",1,"12/2/2011 14:26",2.55,12970,"United Kingdom"
"426123","573344","23081","GREEN METAL BOX ARMY SUPPLIES",2,"10/30/2011 12:07",8.25,14179,"United Kingdom"
"81978","543182","79000","MOROCCAN TEA GLASS",3,"2/4/2011 10:40",1.65,NA,"United Kingdom"
"26108","538497","22730","ALARM CLOCK BAKELIKE IVORY",1,"12/12/2010 12:44",3.75,14684,"United Kingdom"
"523367","580509","21914","BLUE HARMONICA IN BOX ",12,"12/4/2011 13:45",1.25,12719,"France"
"4686","536796","20979","36 PENCILS TUBE RED RETROSPOT",1,"12/2/2010 15:46",1.25,15574,"United Kingdom"
"240719","558113","22846","BREAD BIN DINER STYLE RED ",1,"6/27/2011 8:48",16.95,14911,"EIRE"
"513645","579558","23313","VINTAGE CHRISTMAS BUNTING",5,"11/30/2011 11:24",4.95,14755,"United Kingdom"
"215725","555731","22625","RED KITCHEN SCALES",2,"6/7/2011 7:49",8.5,16655,"United Kingdom"
"108335","545530","85014A","BLACK/BLUE POLKADOT UMBRELLA",3,"3/3/2011 13:45",5.95,17416,"United Kingdom"
"113200","545915","22832","BROCANTE SHELF WITH HOOKS",2,"3/8/2011 11:44",10.75,17419,"United Kingdom"
"486667","577742","23109","PACK OF SIX LED TEA LIGHTS",4,"11/21/2011 13:41",2.89,13755,"United Kingdom"
"480783","577317","85099B","JUMBO BAG RED RETROSPOT",1,"11/18/2011 13:33",2.08,16426,"United Kingdom"
"139231","548309","21212","PACK OF 72 RETROSPOT CAKE CASES",1,"3/30/2011 12:02",0.55,16657,"United Kingdom"
"11929","537351","21756","BATH BUILDING BLOCK WORD",1,"12/6/2010 12:23",5.95,16898,"United Kingdom"
"531072","580903","21916","SET 12 RETRO WHITE CHALK STICKS",5,"12/6/2011 12:56",0.42,14606,"United Kingdom"
"42099","539958","22453","MEASURING TAPE BABUSHKA BLUE",1,"12/23/2010 13:26",5.91,NA,"United Kingdom"
"225095","556636","21531","RED RETROSPOT SUGAR JAM BOWL",1,"6/13/2011 15:30",4.96,NA,"United Kingdom"
"236372","557750","22090","PAPER BUNTING RETROSPOT",12,"6/22/2011 12:50",2.95,16841,"United Kingdom"
"471620","576644","22720","SET OF 3 CAKE TINS PANTRY DESIGN ",2,"11/16/2011 10:01",10.79,NA,"United Kingdom"
"15226","537638","21942","SKULLS DESIGN FLANNEL",1,"12/7/2010 15:28",1.66,NA,"United Kingdom"
"28389","538636","22666","RECIPE BOX PANTRY YELLOW DESIGN",6,"12/13/2010 13:50",2.95,14639,"United Kingdom"
"267066","560282","22304","COFFEE MUG BLUE PAISLEY DESIGN",6,"7/18/2011 8:21",2.55,14758,"United Kingdom"
"176086","551995","22027","TEA PARTY BIRTHDAY CARD",2,"5/5/2011 15:42",0.83,NA,"United Kingdom"
"476215","576948","23462","ROCOCO WALL MIRROR WHITE",1,"11/17/2011 11:45",19.95,14515,"United Kingdom"
"113043","545908","21930","JUMBO STORAGE BAG SKULLS",10,"3/8/2011 9:26",1.95,14709,"United Kingdom"
"316240","564752","47590A","BLUE HAPPY BIRTHDAY BUNTING",9,"8/30/2011 10:07",5.45,16126,"United Kingdom"
"197152","553890","21094","SET/6 RED SPOTTY PAPER PLATES",1,"5/19/2011 16:32",0.83,NA,"United Kingdom"
"161342","550474","35961","FOLKART ZINC HEART CHRISTMAS DEC",1,"4/18/2011 13:58",1.63,NA,"United Kingdom"
"220751","556218","22423","REGENCY CAKESTAND 3 TIER",2,"6/9/2011 14:18",12.75,17731,"United Kingdom"
"101480","544920","22698","PINK REGENCY TEACUP AND SAUCER",12,"2/24/2011 16:31",2.95,13081,"United Kingdom"
"307527","563922","22734","SET OF 6 RIBBONS VINTAGE CHRISTMAS",1,"8/21/2011 14:10",2.89,14529,"United Kingdom"
"380741","569834","23301","GARDENERS KNEELING PAD KEEP CALM ",12,"10/6/2011 13:00",1.65,14383,"United Kingdom"
"16473","537666","22372","AIRLINE BAG VINTAGE WORLD CHAMPION ",1,"12/7/2010 18:36",8.47,NA,"United Kingdom"
"121731","546780","21914","BLUE HARMONICA IN BOX ",48,"3/17/2011 7:40",1.25,12435,"Denmark"
"91686","544112","22668","PINK BABY BUNTING",5,"2/16/2011 11:37",2.95,15039,"United Kingdom"
"148526","549241","21936","RED RETROSPOT PICNIC BAG",4,"4/7/2011 11:40",2.95,15719,"United Kingdom"
"509516","579345","23081","GREEN METAL BOX ARMY SUPPLIES",12,"11/29/2011 11:46",8.25,12727,"France"
"162819","550519","22960","JAM MAKING SET WITH JARS",6,"4/19/2011 9:31",4.25,13141,"United Kingdom"
"369285","569025","22917","HERB MARKER ROSEMARY",1,"9/30/2011 10:08",0.65,18041,"United Kingdom"
"299966","563184","20726","LUNCH BAG WOODLAND",2,"8/12/2011 14:50",1.65,17516,"United Kingdom"
"423636","573151","22558","CLOTHES PEGS RETROSPOT PACK 24 ",2,"10/27/2011 20:09",1.65,17602,"United Kingdom"
"504783","578994","22423","REGENCY CAKESTAND 3 TIER",16,"11/27/2011 15:44",10.95,14911,"EIRE"
"240670","558108","84380","SET OF 3 BUTTERFLY COOKIE CUTTERS",12,"6/26/2011 15:35",1.25,12548,"Spain"
"152522","549633","22128","PARTY CONES CANDY ASSORTED",24,"4/11/2011 11:45",1.25,15671,"United Kingdom"
"319362","564850","35607B","BLACK FEATHER CHRISTMAS DECORATION",10,"8/30/2011 16:43",0.19,17298,"United Kingdom"
"119827","546624","21156","RETROSPOT CHILDRENS APRON",8,"3/15/2011 11:38",1.95,14193,"United Kingdom"
"321621","565152","51014A","FEATHER PEN,HOT PINK",12,"9/1/2011 14:42",0.39,17799,"United Kingdom"
"145000","548863","21557","SET OF 6 FUNKY BEAKERS",3,"4/4/2011 13:57",2.95,15311,"United Kingdom"
"122542","546883","22516","CHILDS GARDEN RAKE BLUE",6,"3/17/2011 18:03",2.1,13707,"United Kingdom"
"102502","545023","22090","PAPER BUNTING RETROSPOT",6,"2/25/2011 14:25",2.95,12921,"United Kingdom"
"363175","568551","22356","CHARLOTTE BAG PINK POLKADOT",10,"9/27/2011 14:58",0.85,14883,"United Kingdom"
"257916","559547","20675","BLUE POLKADOT BOWL",2,"7/10/2011 15:12",1.25,17758,"United Kingdom"
"158329","550284","22717","CARD DOG AND BALL ",12,"4/15/2011 14:10",0.42,12383,"Belgium"
"27742","538566","22625","RED KITCHEN SCALES",2,"12/13/2010 11:21",16.98,NA,"United Kingdom"
"36712","539451","22622","BOX OF VINTAGE ALPHABET BLOCKS",2,"12/17/2010 16:59",21.23,NA,"United Kingdom"
"218369","556042","22746","POPPY'S PLAYHOUSE LIVINGROOM ",2,"6/8/2011 12:44",2.1,14367,"United Kingdom"
"249693","558906","84660B","BLACK STITCHED WALL CLOCK",2,"7/4/2011 16:35",0.79,15555,"United Kingdom"
"504651","578977","23082","SET 6 PAPER TABLE LANTERN HEARTS ",2,"11/27/2011 15:18",3.75,17231,"United Kingdom"
"538295","581404","22469","HEART OF WICKER SMALL",2,"12/8/2011 13:47",1.65,13680,"United Kingdom"
"247930","558777","22208","WOOD STAMP SET THANK YOU",4,"7/4/2011 10:23",0.83,NA,"United Kingdom"
"345092","567142","21915","RED  HARMONICA IN BOX ",24,"9/16/2011 14:55",1.25,14262,"United Kingdom"
"87154","C543638","22383","LUNCH BAG SUKI  DESIGN ",-2,"2/10/2011 16:40",1.65,16403,"United Kingdom"
"440373","574532","22550","HOLIDAY FUN LUDO",4,"11/4/2011 14:19",3.75,15676,"United Kingdom"
"91355","544095","22767","TRIPLE PHOTO FRAME CORNICE ",2,"2/16/2011 9:25",9.95,16509,"United Kingdom"
"5579","536865","21479","WHITE SKULL HOT WATER BOTTLE ",21,"12/3/2010 11:28",8.47,NA,"United Kingdom"
"462960","576051","22962","JAM JAR WITH PINK LID",12,"11/13/2011 14:45",0.85,14911,"EIRE"
"335737","566291","82483","WOOD 2 DRAWER CABINET WHITE FINISH",2,"9/11/2011 15:31",6.95,12965,"United Kingdom"
"45866","540288","82482","WOODEN PICTURE FRAME WHITE FINISH",6,"1/6/2011 12:45",2.55,17634,"United Kingdom"
"427360","573384","23200","JUMBO BAG PEARS",20,"10/30/2011 14:19",2.08,15478,"United Kingdom"
"419118","572758","22776","SWEETHEART 3 TIER CAKE STAND ",18,"10/25/2011 18:39",19.96,NA,"United Kingdom"
"298602","563026","21928","JUMBO BAG SCANDINAVIAN BLUE PAISLEY",10,"8/11/2011 14:04",2.08,15747,"United Kingdom"
"258335","C559608","22158","3 HEARTS HANGING DECORATION RUSTIC",-3,"7/11/2011 11:44",2.95,14690,"United Kingdom"
"481981","577400","23583","LUNCH BAG PAISLEY PARK  ",10,"11/18/2011 17:20",1.65,16201,"United Kingdom"
"448658","575068","20718","RED RETROSPOT SHOPPER BAG",20,"11/8/2011 12:46",1.25,14282,"United Kingdom"
"142696","548624","22986","GINGHAM ROSE WRAP",4,"4/1/2011 12:12",0.42,NA,"United Kingdom"
"285807","561926","22978","PANTRY ROLLING PIN",6,"8/1/2011 12:48",3.75,12749,"United Kingdom"
"202068","554356","POST","POSTAGE",2,"5/24/2011 9:25",18,12670,"France"
"271467","560696","21165","BEWARE OF THE CAT METAL SIGN ",1,"7/20/2011 12:14",1.69,14606,"United Kingdom"
"57945","541219","84659A","WHITE TRAVEL ALARM CLOCK",4,"1/14/2011 14:06",2.46,NA,"United Kingdom"
"338308","566534","84997c","CHILDRENS CUTLERY POLKADOT BLUE",2,"9/13/2011 11:32",8.29,NA,"United Kingdom"
"226811","556812","84947","ANTIQUE SILVER TEA GLASS ENGRAVED",16,"6/14/2011 17:25",2.46,NA,"United Kingdom"
"422267","573075","16218","CARTOON  PENCIL SHARPENERS",5,"10/27/2011 14:04",0.06,17545,"United Kingdom"
"537421","581266","22738","RIBBON REEL SNOWY VILLAGE",10,"12/8/2011 11:25",1.65,12621,"Germany"
"148972","549262","20749","ASSORTED COLOUR MINI CASES",1,"4/7/2011 12:38",7.95,14465,"United Kingdom"
"497256","578354","23681","LUNCH BAG RED VINTAGE DOILY",10,"11/24/2011 10:12",1.65,17139,"United Kingdom"
"56823","541115","20725","LUNCH BAG RED RETROSPOT",10,"1/13/2011 15:34",1.65,12578,"Italy"
"491472","578067","90198A","VINTAGE ROSE BEAD BRACELET RASPBERR",2,"11/22/2011 15:43",4.15,NA,"United Kingdom"
"367076","568833","21731","RED TOADSTOOL LED NIGHT LIGHT",2,"9/29/2011 11:39",1.65,17348,"United Kingdom"
"374248","569372","46776B","WOVEN BERRIES CUSHION COVER ",1,"10/3/2011 16:04",4.13,NA,"United Kingdom"
"512218","579512","21485","RETROSPOT HEART HOT WATER BOTTLE",1,"11/29/2011 16:47",10.79,NA,"United Kingdom"
"180616","552330","22083","PAPER CHAIN KIT RETROSPOT",6,"5/9/2011 10:13",2.95,12948,"United Kingdom"
"241918","558262","21558","SKULL LUNCH BOX WITH CUTLERY ",60,"6/28/2011 8:45",2.1,14646,"Netherlands"
"395861","571046","23133","LARGE IVORY HEART WALL ORGANISER",1,"10/13/2011 13:35",8.25,18096,"United Kingdom"
"112021","545854","C2","CARRIAGE",1,"3/7/2011 13:51",50,14817,"United Kingdom"
"181164","552451","22722","SET OF 6 SPICE TINS PANTRY DESIGN",18,"5/9/2011 13:59",3.95,14543,"United Kingdom"
"325571","565445","23334","IVORY WICKER HEART SMALL",5,"9/4/2011 14:50",0.63,13548,"United Kingdom"
"56891","541121","20750","RED RETROSPOT MINI CASES",6,"1/14/2011 9:20",7.95,12672,"France"
"190916","553220","79321","CHILLI LIGHTS",4,"5/16/2011 9:57",5.75,13319,"United Kingdom"
"192430","553411","POST","POSTAGE",3,"5/17/2011 9:28",18,12714,"France"
"536597","581219","22163","HEART STRING MEMO HOLDER HANGING",5,"12/8/2011 9:28",1.63,NA,"United Kingdom"
"43702","540116","DOT","DOTCOM POSTAGE",1,"1/5/2011 9:54",2.51,NA,"United Kingdom"
"501282","578827","21756","BATH BUILDING BLOCK WORD",1,"11/25/2011 14:25",11.63,NA,"United Kingdom"
"99504","544772","85152","HAND OVER THE CHOCOLATE   SIGN ",1,"2/23/2011 11:12",4.13,NA,"United Kingdom"
"45574","540268","22488","NATURAL SLATE RECTANGLE CHALKBOARD",24,"1/6/2011 11:25",1.65,13458,"United Kingdom"
"153568","549754","21508","VINTAGE KID DOLLY CARD ",12,"4/12/2011 11:32",0.42,13700,"United Kingdom"
"435060","574072","23367","SET 12 COLOUR PENCILS SPACEBOY ",16,"11/2/2011 14:58",0.65,15414,"United Kingdom"
"51495","540646","22679","FRENCH BLUE METAL DOOR SIGN 4",1,"1/10/2011 14:32",2.51,NA,"United Kingdom"
"380515","569823","23319","BOX OF 6 MINI 50'S CRACKERS",2,"10/6/2011 12:15",2.49,16895,"United Kingdom"
"110962","545702","22423","REGENCY CAKESTAND 3 TIER",1,"3/6/2011 15:21",12.75,14247,"United Kingdom"
"173400","551702","37446","MINI CAKE STAND WITH HANGING CAKES",8,"5/3/2011 14:16",1.45,13014,"United Kingdom"
"309977","564150","20725","LUNCH BAG RED RETROSPOT",10,"8/23/2011 12:30",1.65,14936,"Channel Islands"
"533401","581023","22900","SET 2 TEA TOWELS I LOVE LONDON ",4,"12/7/2011 10:35",4.13,NA,"United Kingdom"
"192857","553487","21166","COOK WITH WINE METAL SIGN ",4,"5/17/2011 12:38",2.08,13246,"United Kingdom"
"182206","552528","22730","ALARM CLOCK BAKELIKE IVORY",1,"5/9/2011 16:59",3.75,17218,"United Kingdom"
"465927","576269","22421","LIPSTICK PEN FUSCHIA",12,"11/14/2011 14:23",0.42,12762,"Portugal"
"169185","551171","21901","KEY FOB , BACK DOOR ",4,"4/26/2011 16:45",0.65,13263,"United Kingdom"
"502800","578851","22804","PINK HANGING HEART T-LIGHT HOLDER",2,"11/27/2011 11:05",2.95,16407,"United Kingdom"
"95578","544461","22467","GUMBALL COAT RACK",12,"2/20/2011 14:08",2.55,13744,"United Kingdom"
"215681","555728","20763","DAISY SKETCHBOOK ",1,"6/6/2011 16:41",3.75,17252,"United Kingdom"
"35661","539437","20699","MOUSEY LONG LEGS SOFT TOY",1,"12/17/2010 14:54",5.06,NA,"United Kingdom"
"164823","550701","21868","POTTING SHED TEA MUG",12,"4/20/2011 10:48",1.25,14905,"United Kingdom"
"280057","561371","23348","CHILDRENS TOY COOKING UTENSIL SET",1,"7/26/2011 16:25",4.13,NA,"United Kingdom"
"336926","566408","20758","ABSTRACT CIRCLES POCKET BOOK",1,"9/12/2011 13:43",0.85,16984,"United Kingdom"
"52123","540687","85049E","SCANDINAVIAN REDS RIBBONS",2,"1/10/2011 17:18",1.25,15867,"United Kingdom"
"177006","552039","84988","SET OF 72 PINK HEART PAPER DOILIES",12,"5/6/2011 8:10",1.45,13081,"United Kingdom"
"66613","541810","15056bl","EDWARDIAN PARASOL BLACK",1,"1/21/2011 15:00",12.46,NA,"United Kingdom"
"137773","548167","21928","JUMBO BAG SCANDINAVIAN BLUE PAISLEY",1,"3/29/2011 13:45",4.13,NA,"United Kingdom"
"451083","575177","84596B","SMALL DOLLY MIX DESIGN ORANGE BOWL",4,"11/8/2011 18:41",0.83,NA,"United Kingdom"
"213751","555554","82484","WOOD BLACK BOARD ANT WHITE FINISH",4,"6/5/2011 13:46",7.95,13742,"United Kingdom"
"489835","578027","22112","CHOCOLATE HOT WATER BOTTLE",4,"11/22/2011 13:29",4.95,15977,"United Kingdom"
"336420","566326","23245","SET OF 3 REGENCY CAKE TINS",4,"9/12/2011 12:11",4.95,16211,"United Kingdom"
"320455","564974","20719","WOODLAND CHARLOTTE BAG",2,"8/31/2011 15:32",1.63,NA,"United Kingdom"
"426702","573362","35810A","ENAMEL PINK COFFEE CONTAINER",6,"10/30/2011 13:06",0.83,12597,"Spain"
"335235","566281","23263","SET OF 3 WOODEN HEART DECORATIONS",6,"9/11/2011 14:15",1.25,12748,"United Kingdom"
"364209","568651","22727","ALARM CLOCK BAKELIKE RED ",4,"9/28/2011 12:04",3.75,12362,"Belgium"
"200565","554145","84313C","",-12,"5/23/2011 10:43",0,NA,"United Kingdom"
"229187","557019","22274","FELTCRAFT DOLL EMILY",2,"6/16/2011 12:45",2.95,15907,"United Kingdom"
"444776","574740","22511","RETROSPOT BABUSHKA DOORSTOP",12,"11/6/2011 16:07",3.75,12357,"Switzerland"
"414071","572335","22727","ALARM CLOCK BAKELIKE RED ",4,"10/24/2011 10:27",3.75,14493,"United Kingdom"
"271715","560715","82483","WOOD 2 DRAWER CABINET WHITE FINISH",4,"7/20/2011 13:21",6.95,13549,"United Kingdom"
